sample,point,disc,age,uncert,hfhf,hfhfse,luhf
SA12/06,SA12/06-02,-49,717,16,,,
SA12/06,SA12/06-03,-2.6,993,26,0.282324,1.2E-05,0.000552
SA12/06,SA12/06-05,-1.4,1030,15,0.282348,1.1E-05,0.001357
SA12/06,SA12/06-06,-2.1,1018,16,0.282274,1.2E-05,0.000489
SA12/06,SA12/06-07,-1.2,616,16,0.282462,1.2E-05,0.001151
SA12/06,SA12/06-08,0.3,1043,17,0.282281,9E-06,0.000587
SA12/06,SA12/06-09,-0.6,1034,16,0.282308,9E-06,0.000666
SA12/06,SA12/06-10,-49.8,774,17,,,
SA12/06,SA12/06-100,-2.8,1015,9,0.282376,1.2E-05,0.000885
SA12/06,SA12/06-101,-4.3,1033,8,0.282235,1.1E-05,0.000858
SA12/06,SA12/06-103,-4.4,1018,10,0.282317,9E-06,0.001676
SA12/06,SA12/06-104,-2.2,1093,8,0.282174,1.1E-05,0.001231
SA12/06,SA12/06-106,-2.1,1043,10,0.282328,1.3E-05,0.001305
SA12/06,SA12/06-107,-2,1004,11,0.282279,1.3E-05,0.001095
SA12/06,SA12/06-108,-84.3,466,8,,,
SA12/06,SA12/06-109,1.1,595,6,0.282419,1E-05,0.00016
SA12/06,SA12/06-110,-6.6,941,9,0.282293,1.2E-05,0.000358
SA12/06,SA12/06-111,-2.3,1049,9,0.282345,1.1E-05,0.000863
SA12/06,SA12/06-113,1.6,1054,9,0.282375,1.4E-05,0.000968
SA12/06,SA12/06-114,-2.2,650,10,0.282434,9E-06,0.000981
SA12/06,SA12/06-115,-11.5,917,9,,,
SA12/06,SA12/06-116,-2.6,1042,8,0.282315,1.2E-05,0.000487
SA12/06,SA12/06-117,-15.8,877,11,,,
SA12/06,SA12/06-118,-37.9,727,15,,,
SA12/06,SA12/06-12,0,603,19,0.282436,1.1E-05,0.000546
SA12/06,SA12/06-120,-0.2,1054,8,0.282331,1.1E-05,0.000451
SA12/06,SA12/06-121,-16.4,641,10,,,
SA12/06,SA12/06-122,0.6,643,8,0.282416,1.2E-05,0.000452
SA12/06,SA12/06-123,-51.6,813,40,,,
SA12/06,SA12/06-124,-50.4,586,7,,,
SA12/06,SA12/06-125,-17.1,811,13,,,
SA12/06,SA12/06-126,-11.1,620,13,,,
SA12/06,SA12/06-128,-0.9,1031,9,0.282283,1.3E-05,0.000419
SA12/06,SA12/06-13,-11.8,702,17,,,
SA12/06,SA12/06-130,-7.7,591,7,0.282331,1.2E-05,0.000437
